	Ensembl.ID	MGI.Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17422269	ENSMUSG00000047613	A430005L14Rik	0,0925716798	6,8496410154	1,4954661096	0,1408860093	0,5101707307	-5,2927467422
17547360	NA	NA	0,1092894859	4,7200787538	1,495408912	0,1409008897	0,5101707307	-5,2928278419
17328550	ENSMUSG00000022783	Spag6l	-0,1159185733	6,8356482923	-1,4951935064	0,1409569404	0,5103173392	-5,2931332373
17202641	NA	NA	0,1842825563	7,5269677692	1,4950820056	0,140985961	0,5103660666	-5,2932913039
17236681	ENSMUSG00000020022	Ndufa12	0,0721561136	9,4624617692	1,4949921526	0,1410093507	0,5103944019	-5,2934186742
17304155	NA	NA	0,1216645369	6,5378975692	1,4947059798	0,141083865	0,5105078754	-5,2938242889
17304170	NA	NA	0,1216645369	6,5378975692	1,4947059798	0,141083865	0,5105078754	-5,2938242889
17326604	ENSMUSG00000022883	Robo1	-0,0794509933	9,1764904	-1,4946924154	0,1410873977	0,5105078754	-5,2938435131
17389051	ENSMUSG00000027167	Elp4	-0,0707084699	8,3085345077	-1,4945254133	0,1411308973	0,5106089398	-5,2940801832
17403439	ENSMUSG00000028194	Ddah1	0,072553722	9,8804097538	1,4944116237	0,1411605426	0,5106172708	-5,2942414284
17309907	ENSMUSG00000050697	Prkaa1	-0,0605429518	9,2686672308	-1,4942950252	0,1411909247	0,5106172708	-5,2944066424
17414971	ENSMUSG00000005994	Tyrp1	0,1371118108	4,2730938615	1,4942626636	0,1411993581	0,5106172708	-5,294452495
17403314	NA	NA	0,0532573998	12,6626024615	1,494233144	0,1412070513	0,5106172708	-5,2944943201
17209023	NA	NA	0,5684963422	5,0269562	1,4942178196	0,1412110451	0,5106172708	-5,2945160322
17282925	NA	NA	-0,0809238892	4,4081478615	-1,4940074195	0,1412658885	0,5107029647	-5,2948141141
17506808	ENSMUSG00000036913	Trim67	0,1328330651	5,0277092	1,4939542016	0,141279763	0,5107029647	-5,2948895038
17439361	NA	NA	0,0516093196	12,7340461538	1,493909204	0,1412914953	0,5107029647	-5,2949532466
17496237	ENSMUSG00000030733	Sh2b1	0,1055513416	7,3735374923	1,4938749325	0,1413004315	0,5107029647	-5,2950017938
17548203	NA	NA	0,1569794345	7,1714569077	1,4938089263	0,1413176436	0,5107029647	-5,2950952918
17506322	NA	NA	-0,1780560234	5,0165019385	-1,4937685486	0,1413281735	0,5107029647	-5,2951524851
17379949	NA	Gm14321	-0,179211735	5,0003352462	-1,4936224589	0,1413662768	0,510784376	-5,2953594033
17229020	ENSMUSG00000040181	Fmo1	0,0853199137	7,2208366769	1,4935571454	0,1413833146	0,5107896638	-5,2954519058
17484140	ENSMUSG00000030983	Bccip	0,0651968731	8,2057938308	1,4933457534	0,1414384697	0,5109326457	-5,2957512717
17278692	ENSMUSG00000065526	Mir337	0,1680406938	7,4708952615	1,4932479786	0,1414639863	0,5109685416	-5,2958897239
17209551	NA	NA	-0,3989995406	5,1579847077	-1,4931705609	0,1414841928	0,5109852517	-5,2959993439
17281280	ENSMUSG00000021028	Mbip	-0,0791419579	8,0408161846	-1,4930461055	0,1415166812	0,5110463106	-5,2961755562
17496338	ENSMUSG00000044701	Il27	0,1466855881	5,8221281385	1,4927498981	0,1415940283	0,5112541448	-5,2965948927
17329063	ENSMUSG00000043008	Klhl6	-0,1326804595	5,6688251231	-1,4927063193	0,1416054106	0,5112541448	-5,29665658
17395131	ENSMUSG00000065410	Mir298	-0,1775023387	4,0825282769	-1,4926121801	0,1416300013	0,5112597209	-5,2967898321
17433975	ENSMUSG00000065549	Mir200b	0,1336436596	6,0371714769	1,4925810553	0,1416381323	0,5112597209	-5,2968338868
17202119	NA	NA	0,1771981329	6,8289139692	1,4924468392	0,1416731991	0,5112917876	-5,2970238499
17327815	ENSMUSG00000004071	Cdip1	0,0975098099	7,9905048615	1,4923846161	0,1416894585	0,5112917876	-5,2971119121
17349552	ENSMUSG00000065649	Snora74a	-0,1721463466	6,9010412923	-1,4923171352	0,1417070935	0,5112917876	-5,2972074119
17511885	NA	NA	0,1550253656	4,2642625538	1,492298313	0,1417120127	0,5112917876	-5,2972340484
17493390	ENSMUSG00000053049	Gm15413	-0,1657078252	5,1836777077	-1,4922487602	0,1417249639	0,5112917876	-5,2973041727
17339854	NA	Gm26637	0,1571506172	4,2191682462	1,4921823769	0,1417423155	0,5112981436	-5,2973981113
17208381	NA	NA	0,1927987701	7,7348883231	1,4920740387	0,1417706371	0,5113440651	-5,2975514118
17508353	ENSMUSG00000065954	Tacc1	0,0515280887	10,1897600154	1,4917741514	0,1418490564	0,5115482556	-5,2979757044
17224977	ENSMUSG00000036766	Dner	0,0847642947	10,1635960615	1,4917260277	0,1418616437	0,5115482556	-5,2980437845
17516993	NA	NA	0,0444073081	10,2461179231	1,4916786327	0,1418740413	0,5115482556	-5,2981108317
17207749	NA	NA	-0,4686313977	5,7709279692	-1,4914288805	0,1419393858	0,5116164388	-5,2984641109
17265340	ENSMUSG00000040712	Camta2	0,0795394331	10,0082435538	1,491406192	0,1419453231	0,5116164388	-5,2984962016
17381992	ENSMUSG00000054057	A930004D18Rik	-0,1843728859	5,0215615077	-1,4913917349	0,1419491065	0,5116164388	-5,2985166495
17221096	ENSMUSG00000002459	Rgs20	0,1076020023	6,9236238923	1,49136788	0,1419553494	0,5116164388	-5,298550389
17481831	ENSMUSG00000059263	Usp47	-0,0479971268	10,0249682308	-1,491294176	0,1419746394	0,5116297382	-5,2986546306
17326814	NA	NA	-0,1824839685	6,2317708	-1,4911438786	0,1420139819	0,5117139123	-5,2988671854
17242644	ENSMUSG00000035963	Odf3l2	-0,2032162085	5,3987360769	-1,4910352555	0,142042421	0,5117139123	-5,2990207911
17226531	ENSMUSG00000026354	Lct	0,1371710647	5,2117952462	1,4910261519	0,1420448046	0,5117139123	-5,2990336642
17502962	ENSMUSG00000019433	Gipc1	0,0710438915	8,4654626615	1,4908785385	0,1420834596	0,5117795141	-5,299242389
17469136	ENSMUSG00000030022	Adamts9	-0,1086570197	6,1309269846	-1,490837439	0,1420942237	0,5117795141	-5,2993005003
17278856	ENSMUSG00000099236	Mir668	0,1144768563	7,3854332769	1,4907619688	0,1421139912	0,5117945064	-5,2994072049
17373328	ENSMUSG00000040549	Ckap5	-0,049226462	10,1982410615	-1,4903619731	0,1422187963	0,5120563637	-5,2999726622
17373630	NA	NA	-0,2526966289	5,4682350615	-1,4903447042	0,1422233224	0,5120563637	-5,2999970714
17520596	NA	NA	0,18228633	4,4489861385	1,4902383329	0,1422512043	0,5120563637	-5,3001474191
17338286	ENSMUSG00000090115	Usp49	-0,0986795851	7,1237885692	-1,4902189635	0,1422562819	0,5120563637	-5,3001747952
17444416	ENSMUSG00000075569	Pms2	-0,0657658607	7,4459366769	-1,4901731929	0,1422682809	0,5120563637	-5,3002394847
17392333	ENSMUSG00000027422	Rrbp1	-0,0727507294	7,5104409231	-1,4900981113	0,1422879656	0,5120563637	-5,3003455967
17265896	ENSMUSG00000001323	Srr	-0,0586114642	9,955575	-1,4900674938	0,1422959935	0,5120563637	-5,3003888666
17207335	NA	NA	0,2784295766	5,4056948923	1,4899029758	0,142339136	0,5121501972	-5,3006213565
17488975	ENSMUSG00000006095	Tbcb	-0,0681896141	8,5150750154	-1,4897237806	0,1423861391	0,5121501972	-5,3008745608
17545488	ENSMUSG00000041633	Kctd12b	-0,1420415356	5,3359184923	-1,4896622965	0,1424022693	0,5121501972	-5,300961432
17272866	NA	NA	0,1339406915	5,1105989538	1,489660617	0,1424027099	0,5121501972	-5,3009638049
17427799	ENSMUSG00000054362	Lexm	-0,1368440532	5,3856551385	-1,489628345	0,142411177	0,5121501972	-5,3010094008
17438389	ENSMUSG00000036377	C530008M17Rik	0,085135821	6,9490149231	1,4895620266	0,1424285779	0,5121501972	-5,3011030968
17243015	NA	NA	0,2314257826	7,0105209077	1,4895513504	0,1424313794	0,5121501972	-5,3011181799
17207301	NA	NA	-0,3030102607	6,0718848769	-1,4894250481	0,1424645243	0,5121800989	-5,3012966106
17280869	ENSMUSG00000055917	Zfp277	-0,0676808035	8,0598029231	-1,4893080126	0,1424952429	0,5121800989	-5,3014619374
17290353	NA	NA	-0,1567498505	6,9442140462	-1,4893005696	0,1424971966	0,5121800989	-5,301472451
17328042	NA	NA	-0,0574049589	10,5087050769	-1,4892816544	0,1425021619	0,5121800989	-5,3014991698
17282570	ENSMUSG00000002020	Ltbp2	0,1447510513	4,7320117077	1,4892093229	0,1425211502	0,512192216	-5,3016013392
17545712	ENSMUSG00000025658	Cnksr2	-0,0473256042	11,8778058462	-1,4890245888	0,1425696554	0,5123103963	-5,3018622585
17413847	NA	Gm16731	-0,1271782447	4,8613617385	-1,4888542573	0,1426143904	0,5124150046	-5,3021028092
17508512	NA	NA	0,1528795932	4,1691810615	1,488680936	0,1426599221	0,512522452	-5,3023475564
17535319	ENSMUSG00000015214	Mtmr1	0,0646890462	9,1586980462	1,4885489124	0,1426946125	0,5125909317	-5,3025339695
17375981	NA	Gm14010	0,1613664579	5,7235141846	1,4883818893	0,1427385089	0,5126532697	-5,3027697792
17550420	NA	NA	-0,2320776146	6,0544524462	-1,4883382156	0,1427499888	0,5126532697	-5,3028314354
17381911	ENSMUSG00000026707	Nsun6	-0,0870570024	6,9914490769	-1,4883040659	0,1427589658	0,5126532697	-5,302879645
17508674	ENSMUSG00000052906	Ubxn8	0,0686543088	8,3884974308	1,4882450119	0,1427744905	0,5126532697	-5,3029630099
17377583	ENSMUSG00000027455	Nsfl1c	-0,0602361344	9,7996937692	-1,4880791876	0,1428180911	0,5127536873	-5,3031970835
17523994	ENSMUSG00000031922	Cep57	-0,0822235564	7,4113139846	-1,488017813	0,1428342311	0,5127555033	-5,3032837123
17207825	NA	NA	-0,2536347515	4,9765011846	-1,4878697812	0,1428731659	0,5128391398	-5,3034926423
17203639	NA	NA	-0,2990470075	5,6692097231	-1,4870421946	0,1430909888	0,5135648017	-5,3046603357
17451140	ENSMUSG00000029512	Ulk1	0,0786946225	9,0016866923	1,4868762189	0,1431347056	0,5136654927	-5,3048944496
17254300	ENSMUSG00000051748	Wfdc21	0,1077497728	4,7287870308	1,4867705879	0,1431625335	0,5137091478	-5,305043433
17516649	ENSMUSG00000032098	Treh	0,1435937451	4,5567296308	1,4865656897	0,143216525	0,5138385095	-5,3053323964
17320684	NA	NA	0,1868822714	6,7372594308	1,4865148688	0,143229919	0,5138385095	-5,3054040625
17208965	NA	NA	-0,3566465362	5,0693156769	-1,4862104638	0,1433101666	0,5139583955	-5,3058332774
17463579	NA	NA	0,4010935363	5,7678982	1,4861277843	0,1433319688	0,5139583955	-5,3059498427
17341702	NA	NA	0,0939083369	11,1495167692	1,4861094047	0,1433368158	0,5139583955	-5,3059757543
17362511	ENSMUSG00000071658	Gng3	0,1743166813	10,9079418462	1,4860517352	0,1433520249	0,5139583955	-5,3060570549
17363980	NA	NA	0,1442855999	6,4928096308	1,4860081439	0,143363522	0,5139583955	-5,3061185066
17444059	NA	Gm16120	-0,1198315588	4,0012563846	-1,4858942597	0,1433935623	0,5139583955	-5,3062790442
17201751	NA	NA	0,3102905127	5,3665253385	1,4858619425	0,1434020878	0,5139583955	-5,3063245982
17201927	NA	NA	0,3102905127	5,3665253385	1,4858619425	0,1434020878	0,5139583955	-5,3063245982
17306104	ENSMUSG00000047222	Rnase2a	0,1330241032	4,2170187385	1,4858532738	0,1434043747	0,5139583955	-5,3063368173
17276147	ENSMUSG00000113630	4930404H11Rik	-0,1347911795	4,4809374923	-1,4856470074	0,1434587993	0,5140441651	-5,306627546
17416141	ENSMUSG00000035069	Oma1	-0,0806460508	7,3887822462	-1,4856437719	0,1434596531	0,5140441651	-5,306632106
17249168	NA	NA	0,1545959808	4,649627	1,4854738188	0,1435045087	0,5141487188	-5,3068716234
17531650	ENSMUSG00000032492	Pth1r	-0,1288501077	6,1175204769	-1,4851325096	0,1435946236	0,5144153872	-5,3073525597
17524590	ENSMUSG00000079681	Zglp1	0,1405236966	5,0583681385	1,4848926565	0,1436579781	0,5145557837	-5,3076904746
17550502	NA	NA	0,1365666737	4,2687717231	1,4848653495	0,1436651923	0,5145557837	-5,3077289426
17345475	ENSMUSG00000023972	Ptk7	-0,1150973924	6,3895483538	-1,4846794763	0,1437143057	0,5146331118	-5,3079907695
17200695	NA	NA	-0,2443774185	6,6310021077	-1,484664871	0,1437181654	0,5146331118	-5,3080113417
17378848	ENSMUSG00000044349	Snhg11	0,0631683535	11,8315464615	1,4845941915	0,143736845	0,5146438106	-5,3081108944
17501839	ENSMUSG00000002342	Tmem161a	-0,0945292448	6,8482516769	-1,4841911637	0,143843396	0,514964505	-5,3086784791
17317952	ENSMUSG00000022603	Mroh4	0,1325508639	4,3659044	1,4841341782	0,1438584666	0,514964505	-5,3087587206
17466845	ENSMUSG00000038236	Hoxa7	0,1079317647	5,1213287231	1,4839359692	0,1439108956	0,514964505	-5,3090377972
17276926	NA	NA	-0,217012405	4,3547461385	-1,4838708211	0,1439281314	0,514964505	-5,3091295176
17273910	ENSMUSG00000020605	Hs1bp3	0,1179770304	7,1102655692	1,4838461428	0,1439346609	0,514964505	-5,3091642607
17369126	ENSMUSG00000007476	Lrrc8a	0,0865103786	8,7428779077	1,4838040628	0,143945795	0,514964505	-5,3092235012
17271607	ENSMUSG00000018727	Cpsf4l	-0,1349381496	5,1661258615	-1,4837489664	0,1439603742	0,514964505	-5,3093010641
17499831	ENSMUSG00000044222	Defb13	0,1458361379	4,3278094308	1,483734033	0,143964326	0,514964505	-5,3093220864
17210325	NA	NA	-0,2001945428	7,8034959846	-1,4837211806	0,1439677271	0,514964505	-5,3093401791
17549924	NA	NA	-0,1216345324	4,0901312923	-1,4836437097	0,1439882297	0,5149651327	-5,3094492336
17224133	ENSMUSG00000026189	Pecr	-0,1200892237	5,8487383077	-1,4836018613	0,1439993058	0,5149651327	-5,3095081409
17215427	NA	NA	0,2019244371	7,5964099385	1,4835369549	0,144016486	0,5149704199	-5,3095995022
17253667	ENSMUSG00000001103	Sebox	0,1521068598	5,2928482	1,4833965796	0,1440536478	0,5150471478	-5,3097970801
17476424	ENSMUSG00000036892	Prodh2	0,1361722978	4,5001799231	1,4832701947	0,1440871124	0,5151106414	-5,309974952
17355873	ENSMUSG00000056153	Socs6	-0,0899467333	6,3594758154	-1,4831471985	0,1441196856	0,5151709348	-5,3101480412
17475208	NA	NA	-0,1540095105	9,4782827385	-1,4829779944	0,1441645055	0,5152125389	-5,3103861362
17444713	ENSMUSG00000029635	Cdk8	-0,0917942143	9,2564911538	-1,4828523135	0,1441978038	0,5152125389	-5,3105629714
17306692	NA	NA	-0,15627125	5,2917001231	-1,4828001463	0,144211627	0,5152125389	-5,3106363675
17547829	NA	NA	0,1377585673	6,8610895538	1,4826603276	0,144248681	0,5152125389	-5,3108330725
17224462	NA	NA	0,0783205102	7,2335977692	1,4826003917	0,1442645672	0,5152125389	-5,3109173887
17547591	NA	NA	-0,139429321	5,9545918	-1,4825930641	0,1442665095	0,5152125389	-5,3109276967
17397511	ENSMUSG00000048332	Lhfp	0,0822526527	7,8861600308	1,4825684043	0,1442730461	0,5152125389	-5,3109623863
17462158	NA	6820426E19Rik	-0,1585835131	4,4959459077	-1,4824687338	0,1442994683	0,5152125389	-5,3111025902
17310584	NA	Gm5468	-0,1417088015	6,5568898462	-1,4824307257	0,1443095451	0,5152125389	-5,3111560529
17505120	NA	NA	-0,1197428871	4,4343101538	-1,4823919198	0,144319834	0,5152125389	-5,3112106365
17207767	NA	NA	0,2569293733	6,0670191846	1,4823683586	0,1443260812	0,5152125389	-5,3112437766
17454789	ENSMUSG00000104529	Rbakdn	-0,1965499055	4,9407631231	-1,4823337952	0,1443352461	0,5152125389	-5,311292391
17208317	NA	NA	-0,4324421744	4,3118901692	-1,4822333448	0,1443618841	0,5152125389	-5,3114336714
17428957	ENSMUSG00000028540	Dph2	0,1282407197	6,6071123077	1,4821913906	0,144373011	0,5152125389	-5,3114926761
17293245	NA	NA	0,3582765185	5,8865777846	1,4821222393	0,1443913523	0,5152125389	-5,3115899276
17523199	NA	NA	0,1237766625	6,4769777846	1,4820086481	0,1444214846	0,5152125389	-5,3117496687
17356642	ENSMUSG00000054999	Naaladl1	0,1262445277	4,1934620308	1,4819788402	0,1444293926	0,5152125389	-5,3117915851
17450098	ENSMUSG00000035310	Lin54	-0,0688008802	7,4699202308	-1,4819213146	0,144444655	0,5152125389	-5,3118724764
17376535	NA	Gm14285	0,1561619025	6,0024887692	1,4819087513	0,1444479884	0,5152125389	-5,3118901423
17548082	NA	NA	-0,1106364705	4,8794485538	-1,4818540292	0,1444625084	0,5152125389	-5,3119670882
17301428	ENSMUSG00000022033	Pbk	0,1220616887	4,8108169385	1,4818128665	0,1444734313	0,5152125389	-5,3120249661
17364167	NA	NA	-0,1296285126	7,9866769077	-1,4817511503	0,1444898095	0,5152125389	-5,3121117412
17422302	ENSMUSG00000029028	Lrrc47	0,0700333593	7,8252686615	1,4816307983	0,1445217526	0,5152125389	-5,3122809505
17473417	ENSMUSG00000035285	Nat14	0,0805990657	8,3996820923	1,4815762724	0,1445362264	0,5152125389	-5,3123576074
17380044	ENSMUSG00000052033	Pfdn4	-0,1099669902	6,5864196154	-1,4814411571	0,1445720973	0,5152125389	-5,3125475519
17257563	NA	NA	-0,1295037573	8,9868751538	-1,4814327705	0,144574324	0,5152125389	-5,3125593412
17486967	ENSMUSG00000019370	Calm3	-0,0525202832	11,5364061538	-1,481418497	0,1445781139	0,5152125389	-5,3125794057
17201409	NA	NA	0,2898367936	4,9579053538	1,4813979853	0,1445835602	0,5152125389	-5,3126082392
17410311	ENSMUSG00000028012	Rrh	0,1368074966	4,7452550615	1,4813630929	0,1445928253	0,5152125389	-5,312657287
17307550	ENSMUSG00000035161	Ints6	0,0633507734	8,622546	1,4813088969	0,1446072171	0,5152125389	-5,3127334673
17330863	NA	Gm4802	0,1468327994	4,2404893538	1,4812432626	0,1446246478	0,5152125389	-5,3128257225
17415136	ENSMUSG00000066113	Adamtsl1	0,1094755129	5,9310549538	1,4812079873	0,1446340167	0,5152125389	-5,3128753037
17250682	ENSMUSG00000014245	Pigl	0,0831188357	7,4499115692	1,4810740839	0,1446695848	0,5152832726	-5,3130635018
17481588	ENSMUSG00000066242	Olfr467	0,3013804965	4,1322615231	1,4808498249	0,1447291692	0,5154395226	-5,3133786577
17463577	ENSMUSG00000076212	Mir680-1	-0,1301430016	7,5528516769	-1,4807100117	0,1447663266	0,5155158756	-5,3135751179
17549644	NA	NA	0,159251768	4,3890483846	1,4804732379	0,1448292698	0,5156840259	-5,3139077848
17285725	ENSMUSG00000016982	Pom121l2	0,1547165542	4,6184005846	1,4803779539	0,1448546059	0,5157182491	-5,314041645
17469097	ENSMUSG00000014550	Rbsn	-0,057217161	8,7638775538	-1,4802593395	0,1448861505	0,5157745661	-5,3142082699
17514049	ENSMUSG00000038697	Taf5l	0,0786701827	6,8410163692	1,4800053376	0,1449537185	0,515846238	-5,3145650408
17363683	ENSMUSG00000041360	Pum3	0,0618297217	8,2360052923	1,4799989837	0,144955409	0,515846238	-5,3145739648
17349016	ENSMUSG00000039616	Mocos	0,1636857025	5,1646988615	1,4799482864	0,1449688983	0,515846238	-5,3146451672
17209857	NA	NA	-0,2858287202	5,6049888615	-1,4799471613	0,1449691977	0,515846238	-5,3146467474
17229192	ENSMUSG00000102408	4930568G15Rik	-0,1750147196	4,8752508615	-1,4796997026	0,1450350545	0,5160245913	-5,3149942612
17311789	ENSMUSG00000037075	Rnf139	-0,0634561082	8,9990910769	-1,4795045386	0,1450870107	0,5160479156	-5,3152682986
17323061	ENSMUSG00000022682	Rrn3	-0,0491283554	8,9968522615	-1,479498108	0,1450887228	0,5160479156	-5,3152773274
17412001	ENSMUSG00000085112	A530072M11Rik	0,1587059008	4,0928713385	1,479497766	0,1450888139	0,5160479156	-5,3152778076
17512464	NA	NA	0,0877093311	11,0379089231	1,4792977321	0,1451420823	0,5161814002	-5,3155586474
17507524	NA	NA	0,1494359551	5,6582605538	1,4789085344	0,1452457685	0,5164726101	-5,316104966
17245431	ENSMUSG00000076448	Mir763	0,23315169	7,3343202154	1,4788368805	0,1452648642	0,5164726101	-5,3162055326
17464971	NA	Gm15581	0,1596000245	4,6436574615	1,4788130756	0,1452712086	0,5164726101	-5,3162389418
17250863	ENSMUSG00000087497	2810001G20Rik	-0,1172644535	6,7679864462	-1,4786287226	0,1453203493	0,5165913174	-5,3164976578
17422697	ENSMUSG00000029066	Mrpl20	0,1317731601	7,0444834462	1,478533538	0,1453457266	0,5166255331	-5,3166312257
17308556	ENSMUSG00000033470	Cysltr2	0,1564294337	4,5295523538	1,4782921988	0,145410086	0,5167693885	-5,3169698498
17326235	NA	NA	-0,1367011556	6,4888826154	-1,4782229924	0,1454285458	0,5167693885	-5,3170669443
17293974	ENSMUSG00000069206	Zfp874a	-0,1053914913	7,4232322	-1,4781920864	0,1454367902	0,5167693885	-5,3171103031
17205519	NA	NA	-0,3173685319	6,2973334	-1,4781454747	0,1454492248	0,5167693885	-5,3171756943
17241618	NA	1110002J07Rik	-0,1672692651	4,2300407077	-1,4780692907	0,1454695502	0,5167856195	-5,3172825681
17417302	NA	NA	-0,1262031731	6,2480138615	-1,4774596765	0,1456322723	0,5172667101	-5,3181375769
17305116	ENSMUSG00000058690	Ccser2	-0,0420921771	10,8235312	-1,477338856	0,1456645395	0,5172667101	-5,318306994
17358797	ENSMUSG00000024778	Fas	0,1282515317	5,7001683538	1,4773031591	0,145674074	0,5172667101	-5,3183570466
17491606	NA	NA	-0,1014383417	11,9023487692	-1,4771793709	0,1457071413	0,5172667101	-5,3185306082
17491600	NA	NA	-0,1525794033	8,428245	-1,4771710403	0,1457093669	0,5172667101	-5,318542288
17300139	NA	Trav6d-6	0,1617164377	4,4347702923	1,4771489126	0,1457152785	0,5172667101	-5,3185733114
17373110	ENSMUSG00000005505	Kbtbd4	0,0789311632	7,4593853538	1,4769651771	0,1457643725	0,5172667101	-5,3188308948
17523736	ENSMUSG00000047193	Dync2h1	0,0544297967	8,2900378769	1,4769488155	0,145768745	0,5172667101	-5,3188538312
17433055	ENSMUSG00000063077	Kif1b	-0,0444446006	11,6501163077	-1,4768708982	0,1457895688	0,5172667101	-5,3189630554
17210369	NA	NA	0,2967608163	5,4002181846	1,4768587535	0,1457928148	0,5172667101	-5,3189800793
17219466	NA	NA	0,0786660428	10,9642669231	1,4768224802	0,14580251	0,5172667101	-5,319030925
17350425	NA	Gm5095	-0,1299118823	4,0534600923	-1,4768059568	0,1458069266	0,5172667101	-5,319054086
17473410	ENSMUSG00000074406	Zfp628	-0,1804644719	6,2113481846	-1,47679444	0,145810005	0,5172667101	-5,3190702292
17535915	ENSMUSG00000079531	Gm5936	0,2134130964	7,1033241692	1,4766912365	0,1458375934	0,5173086256	-5,3192148846
17201119	NA	NA	-0,2228702258	6,4007876	-1,4765623227	0,1458720605	0,5173505577	-5,3193955638
17207327	NA	NA	0,195856928	7,3769882462	1,476500907	0,1458884832	0,5173505577	-5,319481636
17301300	ENSMUSG00000060012	Kif13b	-0,0679003454	8,0246192	-1,4764328802	0,1459066754	0,5173505577	-5,3195769695
17540402	ENSMUSG00000025038	Efhc2	-0,1789411701	5,6638939077	-1,4764110564	0,1459125121	0,5173505577	-5,3196075528
17526267	NA	NA	-0,1948860927	7,2646812462	-1,476231489	0,1459605434	0,5174300442	-5,3198591779
17506296	ENSMUSG00000046714	Foxc2	-0,1296541996	5,441533	-1,476179549	0,1459744388	0,5174300442	-5,3199319555
17302102	ENSMUSG00000034795	Ccdc122	-0,1838996403	4,8224661385	-1,4760217306	0,146016666	0,5174300442	-5,3201530738
17312200	ENSMUSG00000068600	Gml2	0,1925384646	4,0821530923	1,4760190505	0,1460173832	0,5174300442	-5,3201568287
17200123	NA	NA	0,2393409563	6,3387779538	1,475990021	0,1460251517	0,5174300442	-5,3201974993
17342000	NA	NA	0,2743742567	8,0219840154	1,4759734334	0,1460295908	0,5174300442	-5,3202207384
17538390	ENSMUSG00000072934	Trpc5os	-0,1426697572	4,1228699077	-1,4756404271	0,1461187306	0,5176899651	-5,3206872261
17269241	NA	NA	-0,0933977288	5,7809909538	-1,475361629	0,1461933928	0,5178985422	-5,3210777029
17447835	ENSMUSG00000029086	Prom1	-0,1113784526	6,8139167385	-1,4751759141	0,146243144	0,5180149359	-5,3213377724
17404585	ENSMUSG00000027663	Zmat3	0,075365744	9,0610685077	1,4751210734	0,1462578378	0,5180149359	-5,3214145638
17551067	NA	NA	-0,1377170585	7,9172077538	-1,4748124545	0,1463405498	0,5180364837	-5,3218466633
17479165	NA	Gm20083	0,1626614289	5,6623285692	1,4747653575	0,1463531753	0,5180364837	-5,3219125967
17401331	NA	NA	-0,202541806	5,3283821385	-1,4747495216	0,1463574207	0,5180364837	-5,3219347658
17404888	ENSMUSG00000027718	Il21	0,1347669385	4,2594394923	1,4747027507	0,14636996	0,5180364837	-5,3220002403
17219499	ENSMUSG00000026554	Dcaf8	-0,0531814304	10,0272599692	-1,4746588666	0,1463817261	0,5180364837	-5,3220616718
17315397	ENSMUSG00000001285	Myg1	0,078427098	7,7973302308	1,4746381931	0,1463872693	0,5180364837	-5,3220906112
17459038	ENSMUSG00000029804	Herc3	-0,0664061402	9,5527779692	-1,4746286145	0,1463898376	0,5180364837	-5,3221040195
17429532	ENSMUSG00000032870	Smap2	0,0567900017	10,0033234	1,4746269513	0,1463902836	0,5180364837	-5,3221063476
17513540	NA	NA	0,0722345093	8,7278944308	1,4741215754	0,1465258436	0,5183924754	-5,3228136674
17300370	NA	NA	-0,1011533862	10,3785192308	-1,4740418132	0,1465472477	0,5183924754	-5,3229252814
17421571	ENSMUSG00000029003	Mad2l2	-0,0958806087	6,6063280769	-1,4740357191	0,1465488832	0,5183924754	-5,3229338089
17350356	ENSMUSG00000057561	Eif1a	0,07201934	8,7813847538	1,4740162558	0,1465541065	0,5183924754	-5,3229610436
17405827	ENSMUSG00000043461	Sptssb	-0,1476586683	6,4627875385	-1,4738541948	0,1465976046	0,5184904173	-5,3231878009
17316175	ENSMUSG00000045763	Basp1	-0,0635692313	10,4708749231	-1,4736921731	0,1466411024	0,5185883367	-5,3234144803
17335398	ENSMUSG00000063952	Brpf3	-0,0933873488	6,9675860615	-1,4735468535	0,1466801248	0,5186704099	-5,3236177729
17459361	NA	NA	0,1743435595	4,1650538923	1,473453867	0,1467050985	0,5186949848	-5,3237478452
17500412	ENSMUSG00000046152	Fut10	-0,0861578693	6,7948492308	-1,4734032097	0,1467187052	0,5186949848	-5,3238187031
17446024	ENSMUSG00000105076	A930003O13Rik	-0,1206742047	5,0443461846	-1,4729117413	0,1468507661	0,5190413679	-5,3245060374
17207343	NA	NA	0,2434587061	6,4216396769	1,4728210078	0,1468751571	0,5190413679	-5,3246329081
17516594	ENSMUSG00000032114	Slc37a4	-0,0920124571	7,4148461846	-1,4727873244	0,1468842126	0,5190413679	-5,324680005
17263220	NA	NA	0,1164276436	7,1434486769	1,4727581835	0,1468920474	0,5190413679	-5,3247207498
17459126	ENSMUSG00000071424	Grid2	-0,0660065167	8,0179773846	-1,4727441779	0,1468958129	0,5190413679	-5,3247403321
17487170	ENSMUSG00000030406	Gipr	0,1360324711	5,5293280923	1,4726136358	0,1469309147	0,51910947	-5,324922845
17243850	ENSMUSG00000035365	Parpbp	-0,1422683081	5,3445752	-1,472451596	0,1469744952	0,5191934377	-5,3251493748
17460933	ENSMUSG00000034192	Lsm3	-0,10126507	7,494269	-1,4724075526	0,1469863423	0,5191934377	-5,325210943
17311315	ENSMUSG00000022337	Emc2	-0,057768809	10,3035041538	-1,4723354562	0,1470057371	0,5191950932	-5,3253117228
