	Ensembl ID	MGI Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
17550518	#N/D	#N/D	0,157252614	5,1975625231	1,6219334288	0,1109145755	0,5699064191	-4,8962341624
17236411	ENSMUSG00000097383	1500026H17Rik	0,1843674022	4,2810159077	1,6219005191	0,1109216422	0,5699064191	-4,8962834801
17242687	ENSMUSG00000020323	Prss57	-0,1949678434	5,1932099692	-1,6218474041	0,1109330483	0,5699064191	-4,896363075
17449447	ENSMUSG00000067149	Jchain	0,1610102955	4,1790176	1,6218197186	0,110938994	0,5699064191	-4,8964045621
17320684	#N/D	#N/D	-0,212428079	6,7372594308	-1,6217018563	0,1109643088	0,5699064191	-4,8965811724
17444052	#N/D	#N/D	-0,1713487163	4,7872007538	-1,6216839772	0,1109681493	0,5699064191	-4,8966079624
17266978	ENSMUSG00000018648	Dusp14	0,0895315225	8,2399128	1,6215797059	0,1109905495	0,5699322142	-4,8967641962
17463434	ENSMUSG00000059659	Gm10069	0,171135536	5,7127507231	1,6214532193	0,1110177271	0,5699651102	-4,8969537042
17419553	ENSMUSG00000028862	Map3k6	0,1528257688	5,3137177385	1,6212743383	0,1110561716	0,5699651102	-4,8972216889
17201237	#N/D	#N/D	-0,2337995269	7,6672125231	-1,6212406088	0,1110634218	0,5699651102	-4,8972722167
17274637	ENSMUSG00000020630	Rnaseh1	-0,0842311753	7,2074400154	-1,6211879554	0,1110747406	0,5699651102	-4,8973510912
17547696	ENSMUSG00000021018	Polr2h	-0,0977348104	7,2484426308	-1,6211455891	0,1110838487	0,5699651102	-4,897414554
17506904	ENSMUSG00000031853	Map3k21	-0,1610886601	5,7042407692	-1,6209482341	0,1111262847	0,5700936586	-4,8977101632
17397758	ENSMUSG00000036503	Rnf13	-0,068682017	9,9395448615	-1,6208599572	0,1111452706	0,570101883	-4,8978423788
17279131	ENSMUSG00000021281	Tnfaip2	0,1621206629	4,2869212154	1,6205766141	0,1112062276	0,5702991655	-4,8982667083
17459888	ENSMUSG00000068328	Aup1	0,0839552997	9,5507003385	1,6205195393	0,1112185097	0,5702991655	-4,8983521744
17261840	ENSMUSG00000020330	Hmmr	-0,1045900682	4,8488966	-1,6202679189	0,1112726697	0,5704278947	-4,8987289288
17255871	#N/D	#N/D	0,1553740547	5,0159630769	1,6201465936	0,111298792	0,5704278947	-4,8989105719
17207805	#N/D	#N/D	0,3710250685	4,8552204462	1,6199131908	0,1113490595	0,5704278947	-4,8992599783
17361250	ENSMUSG00000054611	Kdm2a	-0,0805862121	9,4377337077	-1,6198699402	0,1113583763	0,5704278947	-4,8993247199
17513886	ENSMUSG00000001062	Vps9d1	0,1032194076	7,6122673385	1,6198487597	0,1113629391	0,5704278947	-4,8993564245
17239656	#N/D	#N/D	-0,246010976	6,2115177538	-1,6197394429	0,1113864912	0,5704278947	-4,8995200515
17206707	#N/D	#N/D	0,4188605228	5,5581795077	1,6196728218	0,1114008465	0,5704278947	-4,899619766
17410775	ENSMUSG00000004591	Pkn2	0,0766198295	8,7815670769	1,6196070273	0,1114150252	0,5704278947	-4,8997182398
17225969	ENSMUSG00000089706	B230216N24Rik	0,1159801787	7,5393042154	1,6195310436	0,1114314015	0,5704278947	-4,899831959
17440592	ENSMUSG00000033209	Ttc28	-0,1475747529	6,3688779846	-1,6194477723	0,1114493507	0,5704278947	-4,8999565796
17203845	#N/D	#N/D	0,2809454606	6,3240597538	1,6194262214	0,1114539964	0,5704278947	-4,899988831
17487301	ENSMUSG00000061028	Clasrp	0,0648963041	7,5666581538	1,6194127025	0,1114569108	0,5704278947	-4,9000090621
17400048	ENSMUSG00000028150	Rorc	-0,1816037436	5,3004024154	-1,619353291	0,1114697191	0,5704278947	-4,9000979698
17480018	ENSMUSG00000030560	Ctsc	-0,1236473583	6,7154579077	-1,6188514071	0,1115779664	0,5705002199	-4,9008489087
17203593	#N/D	#N/D	0,3390513587	5,7026308308	1,6188045028	0,1115880872	0,5705002199	-4,9009190781
17236366	ENSMUSG00000020059	Sycp3	-0,1471270881	6,3969009385	-1,6187599668	0,1115976976	0,5705002199	-4,9009857029
17423507	#N/D	#N/D	0,2415977403	5,5798821538	1,6186950813	0,1116117005	0,5705002199	-4,9010827669
17538830	#N/D	#N/D	0,1732475569	10,1400818462	1,6186922772	0,1116123057	0,5705002199	-4,9010869616
17548888	#N/D	#N/D	-0,0733974714	6,7634398154	-1,6186776854	0,111615455	0,5705002199	-4,9011087894
17531563	ENSMUSG00000054792	Klhl18	0,084957265	7,8186446154	1,6186168195	0,111628592	0,5705002199	-4,9011998364
17338378	ENSMUSG00000051682	Treml4	-0,1213204131	5,1751626769	-1,6185124057	0,1116511312	0,5705002199	-4,9013560179
17292276	ENSMUSG00000021377	Dek	0,0929206274	8,1323186769	1,6183403451	0,111688281	0,5705002199	-4,9016133653
17413633	ENSMUSG00000035601	Trmt10b	-0,0911300842	6,9148712	-1,618056428	0,1117496038	0,5705002199	-4,9020379603
17283242	#N/D	#N/D	-0,1498608709	8,5513461385	-1,6179815666	0,1117657775	0,5705002199	-4,9021499036
17538757	#N/D	#N/D	0,1131444264	11,2973681538	1,6179060098	0,1117821034	0,5705002199	-4,902262882
17281350	ENSMUSG00000045930	Clec14a	-0,1769681271	5,6998159385	-1,61785864	0,1117923399	0,5705002199	-4,9023337106
17237170	ENSMUSG00000035873	Pawr	-0,1874185828	6,1368446154	-1,6178219488	0,1118002692	0,5705002199	-4,902388571
17242589	ENSMUSG00000042570	Mier2	0,1285275874	6,6634115846	1,617813708	0,1118020502	0,5705002199	-4,9024008925
17209983	#N/D	#N/D	0,2765780613	6,5398931077	1,6177725926	0,1118109363	0,5705002199	-4,9024623663
17251282	ENSMUSG00000020903	Stx8	0,1261693181	7,1770734	1,6177189911	0,1118225218	0,5705002199	-4,9025425066
17237715	ENSMUSG00000034707	Gns	-0,0580860362	9,7675687846	-1,6176227602	0,1118433238	0,5705002199	-4,9026863766
17510582	#N/D	#N/D	-0,1182200339	9,8075695385	-1,6175840056	0,1118517021	0,5705002199	-4,9027443146
17328484	ENSMUSG00000022789	Dnm1l	0,0470887779	11,4471596923	1,6175046088	0,1118688685	0,5705002199	-4,9028630086
17244263	ENSMUSG00000020014	Cfap54	-0,0824405272	6,5174219846	-1,617377485	0,1118963585	0,5705002199	-4,9030530409
17378942	ENSMUSG00000037754	Ppp1r16b	0,1180609443	10,44482	1,6173187107	0,11190907	0,5705002199	-4,9031408958
17207089	#N/D	#N/D	0,2790581192	6,8723637538	1,6172834615	0,1119166941	0,5705002199	-4,9031935842
17298250	ENSMUSG00000006526	Tmem110	-0,0927112684	7,4631944615	-1,617282664	0,1119168666	0,5705002199	-4,9031947762
17263220	#N/D	#N/D	0,1332141473	7,1434486769	1,6172740736	0,1119187247	0,5705002199	-4,9032076166
17459341	#N/D	Igk	-0,2536700114	4,6434713385	-1,6171734701	0,1119404872	0,5705224799	-4,9033579866
17512221	ENSMUSG00000096188	Cmtm4	-0,0701702288	9,0767124308	-1,6170021537	0,1119775541	0,5706227223	-4,9036140303
17312035	#N/D	LOC105245970	0,2083411892	4,1129011538	1,6168832187	0,1120032933	0,5706652185	-4,9037917725
17325988	#N/D	#N/D	0,1496548566	4,695984	1,6167148469	0,1120397396	0,570762246	-4,9040433748
17207531	#N/D	#N/D	0,3853058095	4,2342483846	1,6160934153	0,11217434	0,5713591908	-4,9049717929
17206483	#N/D	#N/D	-0,1666782383	9,1652746308	-1,61598073	0,1121987614	0,5713948413	-4,9051401103
17347922	#N/D	#N/D	0,1871370474	4,7604156154	1,6157978468	0,1122384054	0,5715079929	-4,9054132593
17308442	ENSMUSG00000047911	Npm2	0,0953516986	5,4425481077	1,6156615243	0,1122679637	0,571569762	-4,9056168486
17518191	ENSMUSG00000032243	Itga11	0,2082192754	5,2503530769	1,6155429383	0,1122936815	0,571611962	-4,9057939368
17207781	#N/D	#N/D	0,4226435074	4,6327731692	1,6152139052	0,1123650639	0,5717979638	-4,9062852315
17244426	ENSMUSG00000053420	Gm4792	-0,1057990276	4,5734343538	-1,6152137819	0,1123650906	0,5717979638	-4,9062854156
17242839	#N/D	#N/D	0,2516706102	7,3434337538	1,6148497736	0,1124441036	0,5720111427	-4,9068288284
17413216	#N/D	Gm26881	-0,1508785692	5,9216240462	-1,6148184492	0,1124509051	0,5720111427	-4,9068755862
17253133	ENSMUSG00000069808	Fam57a	-0,0789567682	9,3859222615	-1,6147797626	0,1124593057	0,5720111427	-4,9069333323
17413463	ENSMUSG00000028475	Spaar	0,2345800696	4,9635980923	1,6146935816	0,1124780211	0,5720176241	-4,9070619672
17237400	#N/D	#N/D	0,13574984	4,5142971692	1,6139404343	0,1126416853	0,57276114	-4,908185862
17244697	#N/D	#N/D	0,2145282872	5,2704171231	1,6137845962	0,1126755741	0,572844645	-4,9084183546
17483532	ENSMUSG00000030801	Kat8	0,1297599322	7,1797251692	1,6136834954	0,1126975641	0,5728676395	-4,9085691747
17205711	#N/D	#N/D	-0,2333265483	8,8026493692	-1,6134162118	0,1127557166	0,5730348356	-4,908967862
17403126	ENSMUSG00000028138	Adh5	-0,0911370056	8,1529529692	-1,6133717143	0,1127654001	0,5730348356	-4,9090342299
17544373	ENSMUSG00000051323	Pcdh19	-0,0953738796	7,8689405385	-1,6129569166	0,1128557015	0,5733985329	-4,9096528202
17273850	#N/D	2810032G03Rik	-0,0949438038	7,134457	-1,6128354922	0,1128821466	0,5733985329	-4,909833874
17412563	ENSMUSG00000023267	Gabrr2	0,1612321247	4,8493986769	1,6128020974	0,1128894206	0,5733985329	-4,9098836663
17448645	ENSMUSG00000072889	Nfxl1	-0,0899224453	7,2937151077	-1,6125094204	0,112953187	0,5736335822	-4,9103200134
17217237	ENSMUSG00000101126	Gm10538	0,1934348226	5,1999369077	1,6123017369	0,1129984534	0,5737379208	-4,9106296021
17205979	#N/D	#N/D	-0,2670316124	6,6229126462	-1,6122326828	0,1130135075	0,5737379208	-4,9107325313
17297576	ENSMUSG00000039197	Adk	-0,0794339736	9,0898055077	-1,612131908	0,1130354799	0,5737379208	-4,9108827351
17219895	#N/D	#N/D	-0,1658309923	7,1430575077	-1,6120941811	0,1130437066	0,5737379208	-4,9109389645
17310808	ENSMUSG00000039168	Dap	-0,1341491289	6,4010893231	-1,6117447509	0,1131199257	0,5739554228	-4,9114597101
17277294	ENSMUSG00000021241	Isca2	0,0782887709	8,8829074462	1,6117372536	0,1131215615	0,5739554228	-4,9114708819
17229795	ENSMUSG00000026556	Vangl2	-0,1392796416	6,4242453231	-1,6114137516	0,1131921631	0,5741589773	-4,9119528949
17258168	ENSMUSG00000018862	Otop3	0,1560629664	4,4905088308	1,6113249113	0,113211558	0,5741589773	-4,9120852504
17548869	#N/D	#N/D	0,1177112381	8,2870339385	1,6113128119	0,1132141997	0,5741589773	-4,9121032758
17278614	ENSMUSG00000021264	Yy1	-0,0619368675	8,6724290923	-1,6111797256	0,1132432596	0,5742175609	-4,9123015358
17490521	ENSMUSG00000003190	Bcl2l12	0,18882241	5,9157364308	1,6110307766	0,1132757903	0,5742937233	-4,9125234093
17279749	ENSMUSG00000071456	1110002L01Rik	0,1063682427	7,4124325077	1,6109361252	0,1132964663	0,5743097692	-4,9126643918
17225693	ENSMUSG00000026273	Mterf4	-0,1109368554	6,5476032	-1,61069261	0,1133496748	0,5744080658	-4,9130270716
17471155	ENSMUSG00000047976	Kcna1	0,0804981989	10,1996570923	1,6106598449	0,1133568355	0,5744080658	-4,9130758666
17297889	ENSMUSG00000040818	Dennd6a	-0,0554982856	8,9683695077	-1,6106069343	0,1133683999	0,5744080658	-4,9131546611
17395649	ENSMUSG00000038932	Tcfl5	-0,1784421422	5,4529288769	-1,6104201361	0,1134092347	0,5745262081	-4,9134328225
17323299	#N/D	#N/D	0,1636947506	8,1753096	1,6101661671	0,1134647726	0,5745958231	-4,9138109615
17350441	ENSMUSG00000100297	1700044K03Rik	0,1691149946	5,5035843538	1,6101110207	0,1134768349	0,5745958231	-4,9138930629
17333107	#N/D	#N/D	0,1789065084	5,6782686615	1,6099599521	0,1135098838	0,5745958231	-4,9141179593
17350194	#N/D	#N/D	0,1695239996	4,5494811385	1,6099309258	0,1135162347	0,5745958231	-4,9141611686
17468018	ENSMUSG00000000628	Hk2	-0,139388871	6,0548527385	-1,6099162379	0,1135194485	0,5745958231	-4,9141830332
17442474	ENSMUSG00000029404	Arl6ip4	-0,0870650398	8,0357861692	-1,6098767225	0,1135280951	0,5745958231	-4,9142418553
17260089	ENSMUSG00000009079	Ewsr1	-0,0624505232	10,4502346769	-1,6094582966	0,1136196857	0,5749170239	-4,9148646393
17503503	#N/D	#N/D	0,1950011835	4,0138925077	1,609426644	0,1136266167	0,5749170239	-4,9149117451
17200555	#N/D	#N/D	0,206831178	6,5716472308	1,609103851	0,1136973184	0,5751173816	-4,9153920813
17373825	ENSMUSG00000032679	Cd59a	0,1735224821	7,6983862923	1,6090797808	0,113702592	0,5751173816	-4,9154278958
17428803	ENSMUSG00000028678	Kif2c	-0,139691153	4,8734169077	-1,6089753414	0,1137254759	0,5751173816	-4,9155832876
17502342	ENSMUSG00000066880	Zfp617	0,0914527293	8,1088183692	1,6089256826	0,1137363581	0,5751173816	-4,91565717
17371839	#N/D	#N/D	-0,1705464493	4,4346657846	-1,6088389701	0,1137553622	0,5751175639	-4,915786176
17262218	ENSMUSG00000048852	Gm12185	0,2809303992	4,8271208769	1,6087408871	0,1137768614	0,5751175639	-4,9159320909
17448917	#N/D	#N/D	-0,1959266508	6,2652344462	-1,6086855098	0,1137890012	0,5751175639	-4,9160144703
17294860	ENSMUSG00000014850	Msh3	0,0701025882	7,9196695692	1,6085897543	0,1138099952	0,5751350403	-4,9161569104
17206559	#N/D	#N/D	-0,2877537908	6,2930235231	-1,6085027156	0,1138290808	0,575142869	-4,9162863775
17550506	#N/D	#N/D	-0,2377044694	5,0813761077	-1,6083257123	0,1138679016	0,5752503955	-4,9165496441
17347650	ENSMUSG00000000673	Haao	-0,1195153163	5,0860649538	-1,6079594345	0,1139482685	0,5754427298	-4,9170943462
17435946	ENSMUSG00000006638	Abhd1	0,1345815673	5,9709938923	1,6079272503	0,1139553324	0,5754427298	-4,917142203
17447379	ENSMUSG00000036553	Sh3tc1	0,1378210063	5,2911628	1,6078592719	0,1139702538	0,5754427298	-4,9172432815
17226189	ENSMUSG00000037035	Inhbb	-0,1584549537	5,8381466769	-1,6078323866	0,1139761555	0,5754427298	-4,9172832567
17479450	#N/D	#N/D	-0,149987958	6,7573935846	-1,6076414685	0,1140180724	0,5755657568	-4,917567112
17359707	ENSMUSG00000036961	Wnt8b	-0,1419217874	4,4584997385	-1,6073984755	0,1140714407	0,5757106076	-4,9179283479
17367637	ENSMUSG00000069132	Nxph2	-0,1123428246	6,8227549231	-1,6073509794	0,1140818745	0,5757106076	-4,9179989503
17514033	ENSMUSG00000031974	Abcb10	-0,0873362442	7,9449166308	-1,6070725645	0,1141430518	0,5759307187	-4,9184127733
17480641	ENSMUSG00000035165	Kcne3	-0,1451645618	4,6267322308	-1,6069028371	0,1141803598	0,5759608586	-4,9186650166
17313394	ENSMUSG00000022477	Aco2	0,0566718627	10,7902986154	1,6068442074	0,1141932496	0,5759608586	-4,9187521446
17483486	ENSMUSG00000030805	Stx4a	0,0975682073	8,3520307077	1,6067594179	0,1142118927	0,5759608586	-4,9188781429
17383549	ENSMUSG00000039686	Zer1	0,0995307916	8,9748140308	1,606725865	0,1142192708	0,5759608586	-4,9189280012
17216120	ENSMUSG00000093805	Gal3st2b	-0,249819976	5,8006964615	-1,6063857133	0,1142940903	0,5760578235	-4,9194334011
17479967	ENSMUSG00000090362	Vmn2r79	-0,1555665612	4,6244624308	-1,6063283572	0,1143067103	0,5760578235	-4,9195186119
17210067	#N/D	#N/D	0,228072706	7,3637197846	1,6062119116	0,114332335	0,5760578235	-4,9196915999
17288988	#N/D	#N/D	0,1637627028	7,5254344615	1,6059184626	0,1143969312	0,5760578235	-4,9201274888
17207243	#N/D	#N/D	-0,2908157055	6,2793479385	-1,6057407519	0,1144360646	0,5760578235	-4,9203914253
17221158	ENSMUSG00000025912	Mybl1	-0,1213243112	6,3773930615	-1,6057395464	0,1144363301	0,5760578235	-4,9203932157
17250266	ENSMUSG00000005417	Mprip	0,0527705689	10,5047896154	1,6056870327	0,1144478962	0,5760578235	-4,920471204
17313641	ENSMUSG00000065176	Rnu12	-0,1319316317	8,3937586	-1,6055284968	0,1144828192	0,5760578235	-4,9207066327
17439825	ENSMUSG00000053863	Mepe	0,1209844816	4,8131363692	1,6055124889	0,114486346	0,5760578235	-4,9207304035
17430887	ENSMUSG00000037752	Xkr8	-0,1391700476	5,9256921385	-1,6052179795	0,1145512464	0,5760578235	-4,921167696
17378637	#N/D	#N/D	-0,1909852458	4,0611244923	-1,6051840467	0,114558726	0,5760578235	-4,9212180753
17381225	ENSMUSG00000026646	Suv39h2	-0,1356341025	6,0413081385	-1,6051190343	0,1145730575	0,5760578235	-4,9213145951
17217590	#N/D	#N/D	0,1497372043	5,7754256154	1,6050141362	0,1145961844	0,5760578235	-4,9214703235
17275405	#N/D	#N/D	0,1886150536	4,5879430615	1,6049867669	0,1146022191	0,5760578235	-4,9215109535
17316415	ENSMUSG00000022329	Stk3	0,0857022217	8,8359105538	1,6049811341	0,1146034612	0,5760578235	-4,9215193154
17272468	ENSMUSG00000057286	St6galnac2	0,142983135	5,2818728	1,6048963554	0,1146221561	0,5760578235	-4,9216451662
17289094	ENSMUSG00000045034	Ankrd34b	0,0778402749	8,1351057846	1,6048686311	0,1146282702	0,5760578235	-4,9216863204
17328567	ENSMUSG00000075370	Igll1	-0,1570092203	4,3469418308	-1,6048629751	0,1146295176	0,5760578235	-4,9216947163
17247635	#N/D	Gm12052	0,1402716128	4,0433395846	1,6048617288	0,1146297925	0,5760578235	-4,9216965662
17496352	#N/D	#N/D	0,1400651286	5,8168648923	1,6047647744	0,1146511765	0,5760578235	-4,9218404812
17463305	#N/D	LOC102636795	0,1822799283	5,7512701692	1,6047438356	0,1146557952	0,5760578235	-4,9218715609
17480777	ENSMUSG00000029461	Fam168a	0,0867016026	10,6452149231	1,6047431732	0,1146559413	0,5760578235	-4,9218725439
17410630	ENSMUSG00000049349	Gm5105	0,1533200196	4,8235354923	1,6046149088	0,1146842369	0,5760578235	-4,9220629197
17379838	#N/D	#N/D	-0,1109586626	7,0680650462	-1,6045604071	0,1146962619	0,5760578235	-4,9221438095
17533073	#N/D	#N/D	0,1229110722	4,0753460154	1,6045460267	0,1146994349	0,5760578235	-4,9221651521
17534673	ENSMUSG00000031112	Stk26	-0,1649492518	6,8815632923	-1,6045132718	0,1147066624	0,5760578235	-4,9222137643
17202823	#N/D	#N/D	0,1634654989	8,2510127538	1,604459768	0,1147184691	0,5760578235	-4,9222931683
17227094	ENSMUSG00000042429	Adora1	0,0833310611	9,9204573077	1,6044061514	0,1147303016	0,5760578235	-4,9223727376
17461312	ENSMUSG00000013736	Trnt1	-0,0858692063	8,1027823538	-1,6042969135	0,1147544122	0,5760906869	-4,9225348435
17330875	ENSMUSG00000022641	Bbx	0,0846606549	8,0774964462	1,6041809306	0,114780016	0,5761310355	-4,9227069481
17280727	ENSMUSG00000076253	Mir680-3	-0,3453071488	5,4466535692	-1,6038208675	0,1148595313	0,5764419352	-4,9232411666
17228375	ENSMUSG00000026469	Xpr1	0,0626920477	10,2614470615	1,6035713237	0,1149146659	0,5765493733	-4,9236113463
17545809	ENSMUSG00000055691	Gja6	0,1366492536	7,0824594	1,6033181489	0,1149706247	0,5765493733	-4,9239868594
17441580	ENSMUSG00000100573	1700081H04Rik	-0,1167193161	4,6715608923	-1,6033017195	0,1149742568	0,5765493733	-4,9240112259
17401343	#N/D	#N/D	-0,2700243764	4,6437895231	-1,603170639	0,1150032387	0,5765493733	-4,924205624
17548573	#N/D	#N/D	0,2012295612	5,7258252923	1,6030607766	0,1150275339	0,5765493733	-4,9243685437
17495985	#N/D	#N/D	-0,1981488723	5,4943709077	-1,6030274839	0,1150348971	0,5765493733	-4,9244179128
17251994	ENSMUSG00000040938	Slc16a11	-0,1660318698	5,6838448308	-1,6029364305	0,115055037	0,5765493733	-4,9245529297
17226232	ENSMUSG00000026384	Ptpn4	0,0600737109	9,6819619231	1,6029311854	0,1150561972	0,5765493733	-4,924560707
17384578	ENSMUSG00000009030	Pdcl	0,0812462222	8,0222963385	1,6029290413	0,1150566715	0,5765493733	-4,9245638863
17225210	ENSMUSG00000079440	Alpi	0,1271661331	4,2143377077	1,6028867182	0,1150660339	0,5765493733	-4,9246266416
17353948	ENSMUSG00000052102	Gnpda1	0,1814700933	6,7863363077	1,6027531151	0,1150955927	0,5765493733	-4,9248247345
17426230	#N/D	#N/D	-0,1862877568	5,1907017692	-1,6024345436	0,1151660993	0,5765493733	-4,9252970193
17530339	ENSMUSG00000079355	Ackr4	0,1402396446	4,3138032923	1,6024133016	0,1151708018	0,5765493733	-4,9253285077
17434333	ENSMUSG00000005907	Pex1	0,0800725415	7,6612208154	1,6023565488	0,1151833665	0,5765493733	-4,9254126343
17208595	#N/D	#N/D	0,5146092646	4,1914667077	1,6022942295	0,1151971649	0,5765493733	-4,9255050092
17261399	ENSMUSG00000020311	Erlec1	-0,0686427324	8,889058	-1,6022832603	0,1151995937	0,5765493733	-4,9255212684
17259810	ENSMUSG00000034570	Inpp5j	0,1094250427	8,5546274	1,6022796581	0,1152003914	0,5765493733	-4,9255266078
17387888	ENSMUSG00000075104	Olfr1219	0,2042513436	6,7718152308	1,6022524223	0,1152064223	0,5765493733	-4,9255669775
17362668	#N/D	#N/D	-0,1626682099	4,1326851692	-1,6021407581	0,1152311513	0,5765493733	-4,9257324837
17202989	#N/D	#N/D	-0,2541757043	6,9921875692	-1,6021345528	0,1152325256	0,5765493733	-4,9257416807
17313199	ENSMUSG00000022407	Adsl	-0,0982558716	7,7328578769	-1,601850615	0,1152954259	0,5767760955	-4,9261624785
17238154	ENSMUSG00000089789	Rdh1	-0,2290410907	4,9864763077	-1,6017554934	0,1153165042	0,5767906617	-4,9263034344
17372052	#N/D	#N/D	0,2561009145	5,2613296923	1,6016151906	0,1153476001	0,5767906617	-4,9265113282
17354074	ENSMUSG00000042816	Gpr151	0,1937754437	4,6805037538	1,601552911	0,1153614056	0,5767906617	-4,9266036058
17338741	ENSMUSG00000065491	Mir7b	-0,1636764513	5,5639054615	-1,601251504	0,1154282371	0,5767906617	-4,9270501447
17329001	ENSMUSG00000022706	Mrpl40	-0,1082279981	6,9541253846	-1,6012001484	0,1154396274	0,5767906617	-4,9271262213
17285240	#N/D	#N/D	0,2766384863	5,4158460308	1,6011637067	0,1154477104	0,5767906617	-4,9271802035
17269333	ENSMUSG00000020916	Krt36	0,2155139072	4,7486670308	1,6011467229	0,1154514777	0,5767906617	-4,9272053618
17208313	#N/D	#N/D	-0,2961043483	5,2530258462	-1,6011302525	0,1154551313	0,5767906617	-4,9272297594
17397377	ENSMUSG00000049100	Pcdh10	-0,0678085063	10,1361427538	-1,6011235511	0,1154566178	0,5767906617	-4,927239686
17511996	ENSMUSG00000046556	Zfp319	0,1042071929	7,5076593538	1,6009950863	0,1154851177	0,5768451731	-4,9274299719
17250710	ENSMUSG00000018507	Trpv2	-0,0863895309	7,1380957077	-1,6008100244	0,1155261838	0,5768773759	-4,9277040668
17289388	ENSMUSG00000110235	Gm5086	0,1573853322	6,2951638769	1,6008075025	0,1155267435	0,5768773759	-4,9277078018
17436210	ENSMUSG00000052139	Babam2	-0,0854309238	8,6891434923	-1,6003716418	0,1156235098	0,5772726826	-4,9283532407
17215376	ENSMUSG00000056055	Sag	0,1453997227	5,2465646308	1,6001730255	0,1156676268	0,5774050466	-4,9286473066
17397426	ENSMUSG00000023087	Noct	0,092443067	6,9664491692	1,600060103	0,1156927154	0,5774423965	-4,928814482
17542367	ENSMUSG00000002012	Pnck	-0,109984716	8,4227334154	-1,5999465585	0,1157179466	0,5774804468	-4,9289825675
17509964	ENSMUSG00000036120	Rfxank	0,1007625082	7,7324714615	1,5996703925	0,1157793333	0,5776165317	-4,9293913448
17201607	#N/D	#N/D	0,3451828166	5,2274369385	1,5996654165	0,1157804397	0,5776165317	-4,9293987095
17260474	ENSMUSG00000020427	Igfbp3	0,152619262	6,8120381538	1,5994039558	0,1158385823	0,577818705	-4,9297856605
17281202	ENSMUSG00000021022	Ppp2r3c	-0,0956325412	8,2931766154	-1,5992204845	0,1158793962	0,577934391	-4,9300571564
17200519	#N/D	#N/D	0,2759892128	6,5678559692	1,5990784315	0,1159110043	0,5780041368	-4,9302673433
17269516	ENSMUSG00000048732	Klhl11	0,0692971453	8,8745333692	1,5988084664	0,1159710933	0,578215863	-4,9306667473
17344686	#N/D	#N/D	-0,2234875424	6,2708137846	-1,5986508498	0,1160061874	0,57822709	-4,9308999075
17234477	ENSMUSG00000020229	Slc5a4a	-0,1421055637	4,8214822615	-1,5985467425	0,1160293721	0,57822709	-4,9310539008
17299279	ENSMUSG00000055128	Cgrrf1	0,1090753786	7,7558517538	1,5984334712	0,1160546018	0,57822709	-4,9312214389
17336951	#N/D	#N/D	-0,2797143602	8,6349527077	-1,5984071677	0,1160604612	0,57822709	-4,9312603426
17549532	#N/D	#N/D	0,1513632814	5,2845001077	1,5983620541	0,1160705113	0,57822709	-4,9313270655
17208437	#N/D	#N/D	-0,5171029878	7,9178929846	-1,5983233778	0,116079128	0,57822709	-4,9313842664
17341681	ENSMUSG00000016946	Kctd5	-0,1067504692	7,4700371385	-1,5981868553	0,1161095478	0,5782907878	-4,9315861684
17278797	#N/D	#N/D	-0,1366253102	6,3568466615	-1,5980158062	0,1161476698	0,5783928221	-4,9318391095
17205347	#N/D	#N/D	-0,2750195952	5,7739216308	-1,5978186569	0,1161916214	0,5785039006	-4,9321306165
17222800	ENSMUSG00000025986	Slc39a10	0,0593656116	10,7959643077	1,5977575213	0,1162052534	0,5785039006	-4,9322210056
17260023	ENSMUSG00000059534	Uqcr10	0,107515618	7,8383698308	1,5973351094	0,1162994783	0,5788353216	-4,9328454572
17276660	#N/D	#N/D	0,3441230356	5,5827833231	1,5972344817	0,1163219339	0,5788353216	-4,9329941933
17241799	#N/D	1700049L16Rik	-0,246290087	4,6136202154	-1,5972217567	0,1163247737	0,5788353216	-4,9330130013
17201157	#N/D	#N/D	0,3728013182	4,9756353385	1,5969257581	0,1163908488	0,5790762542	-4,9334504594
17227160	ENSMUSG00000073557	Ppp1r12b	0,0693497691	8,2934483538	1,5965863364	0,1164666544	0,579278299	-4,933952003
17208315	#N/D	#N/D	-0,480855192	5,2986592154	-1,5965857579	0,1164667837	0,579278299	-4,9339528577
17370060	#N/D	C130021I20Rik	0,1558953992	4,2782441846	1,5965064599	0,1164844997	0,5792785649	-4,9340700179
17260182	ENSMUSG00000049680	Urgcp	-0,0838096909	8,2934235846	-1,5960820224	0,1165793604	0,5796215093	-4,9346970208
17302234	ENSMUSG00000075502	Kbtbd6	0,177422036	5,3017618615	1,5960397716	0,1165888068	0,5796215093	-4,9347594277
17442187	ENSMUSG00000054434	Tmem120b	0,119760874	7,2345339692	1,5959169237	0,1166162765	0,5796702061	-4,9349408732
17216751	#N/D	#N/D	0,2335706727	7,2958157846	1,5955321375	0,1167023513	0,5799891552	-4,935509118
17548000	#N/D	#N/D	0,1427559834	7,8308198615	1,5952756118	0,1167597633	0,5799891552	-4,9358878816
17219474	#N/D	#N/D	0,2263466339	8,6666666154	1,595265888	0,11676194	0,5799891552	-4,9359022379
17549824	#N/D	#N/D	-0,1470859682	5,3501958154	-1,5952390203	0,1167679546	0,5799891552	-4,935941905
17253125	#N/D	#N/D	-0,1707387527	4,3018286308	-1,5951532745	0,1167871513	0,5799891552	-4,9360684949
